id,firstAgent,secondAgent,First_Fun,First_Frustrating,First_Challenging,First_Aided,First_Creative,First_Reuse,First_Random,Second_Random,First_Deletions,Second_Deletions,First_Blocks,Second_Blocks,First_Unplayable,Second_Unplayable,Designed_Mario_Class,Designed_Mario_Binary,Designed_Platformer_Class,Designed_Platformer_Binary,Designed_Any_Class,Designed_Any_Binary,Played_SMB_Class,Played_SMB_Binary,Played_M_Class,Played_M_Binary,Played_Platformer_Class,Played_Platformer_Binary,Played_Any_Class,Played_Any_Binary,Gender,Age,above_first
116,0,1,1,-1,-1,1,-1,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,1,1,1,1,F,1,1
1206,1,2,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,M,0,0
1016,1,0,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,1,2,1,2,1,2,1,M,1,1
106,0,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,2,1,2,1,2,1,M,0,0
206,0,2,-1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,M,0,0
2106,2,1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,1,M,0,0
2116,2,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,M,0,1
2016,2,0,1,-1,-1,1,1,1,0,0,0,0,0,1,0,0,2,1,0,0,2,1,2,1,2,1,2,1,1,1,M,0,1
2006,2,0,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,M,0,0
216,0,2,1,-1,-1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,2,1,2,1,2,1,2,1,M,0,1
1006,1,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,1,NB,1,0
