, 11:  time = 433.8703
Added Ground at 88, 1:  time = 657.1553
Added Ground at 89, 1:  time = 657.1553
Added Ground at 90, 1:  time = 657.1553
Added Ground at 91, 1:  time = 657.1553
Added Ground at 92, 1:  time = 657.1553
Added Ground at 93, 1:  time = 657.1553
Added Ground at 94, 1:  time = 657.1553
Added Ground at 95, 1:  time = 657.1553
Added Ground at 96, 1:  time = 657.1553
Added Ground at 97, 1:  time = 657.1553
Added Ground at 98, 1:  time = 657.1553
Added Ground at 99, 1:  time = 657.1553
Added Block at 1, 13:  time = 657.1553
Added Block at 2, 13:  time = 657.1553
Added Block at 3, 13:  time = 657.1553
Added Block at 4, 13:  time = 657.1553
Added Block at 5, 13:  time = 657.1553
Added Block at 6, 13:  time = 657.1553
Added Block at 7, 13:  time = 657.1553
Added Block at 8, 13:  time = 657.1553
Added Block at 9, 13:  time = 657.1553
Added Stair at 17, 0:  time = 657.1553
Added Stair at 17, 2:  time = 657.1553
Added Bar at 27, 4:  time = 657.1553
Added Block at 41, 13:  time = 657.1553
Added Block at 42, 13:  time = 657.1553
Added Block at 43, 13:  time = 657.1553
Added Block at 44, 13:  time = 657.1553
Added Block at 45, 13:  time = 657.1553
Added Block at 46, 13:  time = 657.1553
Added Block at 47, 13:  time = 657.1553
Added Block at 48, 13:  time = 657.1553
Added Block at 49, 13:  time = 657.1553
Added Block at 50, 13:  time = 657.1553
Added Ground at 57, 0:  time = 657.1553
Added Ground at 57, 1:  time = 657.1553
Added Ground at 58, 0:  time = 657.1553
Added Ground at 58, 1:  time = 657.1553
Added Block at 14, 5:  time = 657.1553
Added Block at 17, 8:  time = 657.1553
Added Block at 17, 9:  time = 657.1553
Added Block at 18, 9:  time = 657.1553
Added Block at 18, 8:  time = 657.1553
Added Block at 19, 9:  time = 657.1553
Added Block at 19, 8:  time = 657.1553
Added Block at 20, 8:  time = 657.1553
Added Block at 20, 9:  time = 657.1553
Added Block at 20, 10:  time = 657.1553
Added Block at 20, 11:  time = 657.1553
Added Block at 21, 11:  time = 657.1553
Added Block at 21, 10:  time = 657.1553
Added Block at 21, 9:  time = 657.1553
Added Block at 22, 9:  time = 657.1553
Added Block at 21, 8:  time = 657.1553
Added Block at 22, 8:  time = 657.1553
Added Block at 23, 9:  time = 657.1553
Added Block at 23, 8:  time = 657.1553
Added Block at 21, 12:  time = 657.1553
Added Block at 41, 12:  time = 657.1553
Added Block at 41, 11:  time = 657.1553
Added Block at 41, 10:  time = 657.1553
Added Block at 41, 9:  time = 657.1553
Added Block at 41, 8:  time = 657.1553
Added Block at 41, 7:  time = 657.1553
Added Block at 42, 7:  time = 657.1553
Added Block at 43, 7:  time = 657.1553
Added Block at 44, 7:  time = 657.1553
Added Block at 50, 12:  time = 657.1553
Added Block at 50, 11:  time = 657.1553
Added Block at 50, 10:  time = 657.1553
Added Block at 50, 9:  time = 657.1553
Added Block at 50, 8:  time = 657.1553
Added Block at 50, 7:  time = 657.1553
Added Block at 49, 7:  time = 657.1553
Added Block at 45, 7:  time = 657.1553
Added Block at 45, 6:  time = 657.1553
Added Block at 46, 6:  time = 657.1553
Added Block at 72, 11:  time = 657.1553
Added Block at 73, 11:  time = 657.1553
Added Block at 74, 11:  time = 657.1553
Added Block at 75, 11:  time = 657.1553
Added Block at 75, 10:  time = 657.1553
Added Block at 74, 10:  time = 657.1553
Added Block at 73, 10:  time = 657.1553
Added Block at 72, 10:  time = 657.1553
Added Block at 71, 9:  time = 657.1553
Added Block at 72, 9:  time = 657.1553
Added Block at 73, 9:  time = 657.1553
Added Block at 73, 8:  time = 657.1553
Added Block at 72, 8:  time = 657.1553
Added Block at 74, 9:  time = 657.1553
Added Block at 74, 8:  time = 657.1553
Added Block at 91, 10:  time = 657.1553
Added Block at 90, 10:  time = 657.1553
Added Block at 89, 10:  time = 657.1553
Added Block at 88, 10:  time = 657.1553
Added Block at 88, 11:  time = 657.1553
Added Block at 89, 11:  time = 657.1553
Added Block at 90, 11:  time = 657.1553
Added Block at 89, 9:  time = 657.1553
Added Block at 88, 9:  time = 657.1553
Added Block at 87, 9:  time = 657.1553
Added Block at 86, 9:  time = 657.1553
Added Block at 86, 10:  time = 657.1553
Added Block at 85, 10:  time = 657.1553
Added Block at 85, 9:  time = 657.1553
Added Block at 84, 9:  time = 657.1553
Added Flag at 97, 2:  time = 657.1553
Added Mario at 0, 2:  time = 657.1553
Added Stair at 9, 2:  time = 657.1553
Added Stair at 10, 2:  time = 657.1553
Added Stair at 11, 3:  time = 657.1553
Added Stair at 25, 0:  time = 657.1553
Added Stair at 25, 2:  time = 657.1553
Added Stair at 26, 0:  time = 657.1553
Added Stair at 26, 2:  time = 657.1553
Added Block at 36, 13:  time = 657.1553
Added Block at 37, 13:  time = 657.1553
Added Block at 38, 13:  time = 657.1553
Added Block at 39, 13:  time = 657.1553
Added Block at 40, 13:  time = 657.1553
Added Stair at 76, 2:  time = 657.1553
Added Stair at 77, 2:  time = 657.1553
Added Stair at 78, 3:  time = 657.1553
Added Ground at 86, 0:  time = 657.1553
Added Ground at 87, 0:  time = 657.1553
Added Ground at 88, 0:  time = 657.1553
Added Ground at 89, 0:  time = 657.1553
Added Ground at 90, 0:  time = 657.1553
Added Ground at 91, 0:  time = 657.1553
Added Ground at 92, 0:  time = 657.1553
Added Ground at 93, 0:  time = 657.1553
Added Ground at 94, 0:  time = 657.1553
Added Ground at 95, 0:  time = 657.1553
Added Ground at 96, 0:  time = 657.1553
Added Ground at 97, 0:  time = 657.1553
Added Ground at 98, 0:  time = 657.1553
Added Ground at 99, 0:  time = 657.1553
Added Goomba at 43, 8:  time = 657.1553
Added Coin at 43, 10:  time = 657.1553
Added Coin at 43, 11:  time = 657.1553
Added Coin at 44, 11:  time = 657.1553
Added Coin at 45, 11:  time = 657.1553
Added Coin at 45, 10:  time = 657.1553
Added Coin at 44, 10:  time = 657.1553
Added Coin at 46, 11:  time = 657.1553
Added Coin at 47, 11:  time = 657.1553
Added Coin at 48, 11:  time = 657.1553
Added Coin at 48, 10:  time = 657.1553
Added Coin at 47, 10:  time = 657.1553
Added Coin at 46, 10:  time = 657.1553
Added Coin at 14, 8:  time = 657.1553
Added Coin at 17, 12:  time = 657.1553
Added Coin at 18, 12:  time = 657.1553
Added Koopa at 19, 10:  time = 657.1553
Added Koopa at 23, 10:  time = 657.1553
Added Koopa at 7, 2:  time = 657.1553
Added Block at 33, 3:  time = 657.1553
Added Block at 34, 3:  time = 657.1553
Added Block at 35, 3:  time = 657.1553
Added Block at 36, 3:  time = 657.1553
Added Block at 35, 4:  time = 657.1553
Added Block at 34, 4:  time = 657.1553
Added Block at 33, 4:  time = 657.1553
Added Block at 36, 4:  time = 657.1553
Added Block at 36, 5:  time = 657.1553
Added Block at 39, 5:  time = 657.1553
Added Block at 40, 5:  time = 657.1553
Added Block at 40, 4:  time = 657.1553
Added Block at 40, 3:  time = 657.1553
Added Block at 40, 2:  time = 657.1553
Added Block at 41, 3:  time = 657.1553
Added Block at 42, 3:  time = 657.1553
Added Block at 42, 2:  time = 657.1553
Added Block at 41, 2:  time = 657.1553
Added Block at 43, 2:  time = 657.1553
Added Block at 44, 2:  time = 657.1553
Added Block at 43, 3:  time = 657.1553
Added Block at 44, 3:  time = 657.1553
Added Question at 37, 5:  time = 657.1553
Added Ground at 5, 0:  time = 657.1553
Added Ground at 6, 0:  time = 657.1553
Added Ground at 7, 0:  time = 657.1553
Added Ground at 8, 0:  time = 657.1553
Added Ground at 9, 0:  time = 657.1553
Added Ground at 10, 0:  time = 657.1553
Added Ground at 11, 0:  time = 657.1553
Added Ground at 12, 0:  time = 657.1553
Added Ground at 19, 0:  time = 657.1553
Added Ground at 19, 1:  time = 657.1553
Added Stair at 48, 0:  time = 657.1553
Added Stair at 48, 2:  time = 657.1553
Added Stair at 62, 0:  time = 657.1553
Added Stair at 63, 0:  time = 657.1553
Added Stair at 63, 2:  time = 657.1553
Added Question at 4, 5:  time = 657.1553
Added Pipe at 65, 2:  time = 657.1553
Added PipeBody at 68, 2:  time = 657.1553
Added PipeBody at 68, 3:  time = 657.1553
Added PipeBody at 68, 4:  time = 657.1553
Added Pipe at 68, 5:  time = 657.1553
Added Pipe at 72, 4:  time = 657.1553
Added PipeBody at 72, 3:  time = 657.1553
Added PipeBody at 72, 2:  time = 657.1553
Added Stair at 86, 2:  time = 657.1553
Added Stair at 88, 2:  time = 657.1553
Added Stair at 88, 3:  time = 657.1553
Added Stair at 90, 2:  time = 657.1553
Added Stair at 90, 3:  time = 657.1553
Added Stair at 90, 4:  time = 657.1553
Added Stair at 92, 2:  time = 657.1553
Added Stair at 92, 3:  time = 657.1553
Added Stair at 92, 4:  time = 657.1553
Added Stair at 92, 5:  time = 657.1553
Added Stair at 94, 6:  time = 657.1553
Added Stair at 94, 4:  time = 657.1553
Added Stair at 94, 5:  time = 657.1553
Added Stair at 94, 3:  time = 657.1553
Added Stair at 94, 2:  time = 657.1553
Added Goomba at 88, 4:  time = 657.1553
Added Koopa 2 at 90, 5:  time = 657.1553
Added Bar at 28, 1:  time = 657.1553
Added Stair at 62, 2:  time = 657.1553
Added Stair at 78, 0:  time = 657.1553
Added Stair at 78, 2:  time = 657.1553
Added Stair at 0, 0:  time = 657.1553
Added Stair at 1, 0:  time = 657.1553
Added Stair at 1, 2:  time = 657.1553
Added Stair at 80, 0:  time = 657.1553
Added Stair at 80, 2:  time = 657.1553
Added Block at 85, 0:  time = 657.1553
Added Ground at 33, 0:  time = 657.1553
Added Ground at 34, 0:  time = 657.1553
Added Ground at 35, 0:  time = 657.1553
Added Ground at 36, 0:  time = 657.1553
Added Ground at 37, 0:  time = 657.1553
